Entity,Year,Annual CO₂ emissions from coal (per capita)
Afghanistan,1949,0.0019921463
Afghanistan,1950,0.0027092986
Afghanistan,1951,0.0032550937
Afghanistan,1952,0.003969562
Afghanistan,1953,0.0046869693
Afghanistan,1954,0.0051781484
Afghanistan,1955,0.007480262
Afghanistan,1956,0.00736761
Afghanistan,1957,0.008959124
Afghanistan,1958,0.010500479
Afghanistan,1959,0.012393353
Afghanistan,1960,0.014069101
Afghanistan,1961,0.019087305
Afghanistan,1962,0.03155796
Afghanistan,1963,0.02746715
Afghanistan,1964,0.030613232
Afghanistan,1965,0.0379689
Afghanistan,1966,0.04175642
Afghanistan,1967,0.03801423
Afghanistan,1968,0.030903723
Afghanistan,1969,0.03292387
Afghanistan,1970,0.038704056
Afghanistan,1971,0.03104099
Afghanistan,1972,0.016073298
Afghanistan,1973,0.02555889
Afghanistan,1974,0.024435952
Afghanistan,1975,0.031211056
Afghanistan,1976,0.032544296
Afghanistan,1977,0.033781588
Afghanistan,1978,0.042333934
Afghanistan,1979,0.025758276
Afghanistan,1980,0.023977106
Afghanistan,1981,0.027930602
Afghanistan,1982,0.035001967
Afghanistan,1983,0.035237268
Afghanistan,1984,0.035080276
Afghanistan,1985,0.03498723
Afghanistan,1986,0.03721727
Afghanistan,1987,0.038885742
Afghanistan,1988,0.03179645
Afghanistan,1989,0.028388537
Afghanistan,1990,0.023117363
Afghanistan,1991,0.02039623
Afghanistan,1992,0.0016555486
Afghanistan,1993,0.0012259778
Afghanistan,1994,0.0009041402
Afghanistan,1995,0.0008587918
Afghanistan,1996,0.00041253679
Afghanistan,1997,0.00019856819
Afghanistan,1998,0.00019123177
Afghanistan,1999,0.00018423364
Afghanistan,2000,0.00018201387
Afghanistan,2001,0.0034320133
Afghanistan,2002,0.0025778222
Afghanistan,2003,0.0040387446
Afghanistan,2004,0.0038878375
Afghanistan,2005,0.0043539377
Afghanistan,2006,0.0063303714
Afghanistan,2007,0.028848331
Afghanistan,2008,0.040711403
Afghanistan,2009,0.055126134
Afghanistan,2010,0.07940974
Afghanistan,2011,0.14245147
Afghanistan,2012,0.10227056
Afghanistan,2013,0.10443688
Afghanistan,2014,0.11043647
Afghanistan,2015,0.080467336
Afghanistan,2016,0.07831461
Afghanistan,2017,0.09126905
Afghanistan,2018,0.09888755
Afghanistan,2019,0.09775538
Afghanistan,2020,0.105351485
Afghanistan,2021,0.08491233
Afghanistan,2022,0.08702327
Afghanistan,2023,0.09270566
Africa,1884,0.00016810493
Africa,1885,0.00027865346
Africa,1886,0.00036027696
Africa,1887,0.00035830968
Africa,1888,0.00060305005
Africa,1889,0.0009820405
Africa,1890,0.0022003131
Africa,1891,0.0021923848
Africa,1892,0.0035353242
Africa,1893,0.013219625
Africa,1894,0.017834708
Africa,1895,0.024409406
Africa,1896,0.031057494
Africa,1897,0.034764815
Africa,1898,0.043902785
Africa,1899,0.039936516
Africa,1900,0.016815761
Africa,1901,0.028121473
Africa,1902,0.04176499
Africa,1903,0.056402333
Africa,1904,0.06341765
Africa,1905,0.07276437
Africa,1906,0.08275714
Africa,1907,0.0909625
Africa,1908,0.09390756
Africa,1909,0.10735923
Africa,1910,0.12100435
Africa,1911,0.11665492
Africa,1912,0.12317982
Africa,1913,0.13432744
Africa,1914,0.1315729
Africa,1915,0.13287483
Africa,1916,0.15644318
Africa,1917,0.16825138
Africa,1918,0.16041791
Africa,1919,0.16547768
Africa,1920,0.18311934
Africa,1921,0.18035407
Africa,1922,0.15248175
Africa,1923,0.18363054
Africa,1924,0.19124873
Africa,1925,0.19829196
Africa,1926,0.20996568
Africa,1927,0.20349817
Africa,1928,0.20427981
Africa,1929,0.20636833
Africa,1930,0.19180816
Africa,1931,0.16469581
Africa,1932,0.14567503
Africa,1933,0.15482448
Africa,1934,0.17546919
Africa,1935,0.1921689
Africa,1936,0.20624281
Africa,1937,0.21882208
Africa,1938,0.22657107
Africa,1939,0.23089063
Africa,1940,0.23844627
Africa,1941,0.25232804
Africa,1942,0.27291793
Africa,1943,0.27320227
Africa,1944,0.29871535
